block_id,route_id,trip_headsign,service_id,shape_id,trip_id,trip_id_
b_2152786,8-114,8 WATERFRONT TO PIER 21,2012_08A-1208BRsa-Saturday-01,80021,6528616-2012_08A-1208BRsa-Saturday-01,6528616
a_2151281,320-121,320 AIRPORT VIA FALL RIVE,2012_05M-1205BRsu-Sunday-02,3200047,6519443-2012_05M-1205BRsu-Sunday-02,6519443
b_2152251,185-114,185 HALIFAX,2012_08A-1208BRwd-Weekday-01,1850010,6523143-2012_08A-1208BRwd-Weekday-01,6523143
b_2152505,18-114,18 SAINT MARY'S ONLY,2012_08A-1208BRwd-Weekday-01,180056,6523491-2012_08A-1208BRwd-Weekday-01,6523491
b_2152838,57-114,57 PORTLAND HILLS VIA POR,2012_08A-1208BRsa-Saturday-01,570065,6528360-2012_08A-1208BRsa-Saturday-01,6528360
a_2151215,4-121,4 LACEWOOD,2012_05M-1205BRsu-Sunday-02,40028,6517876-2012_05M-1205BRsu-Sunday-02,6517876
a_2150746,65-121,65 CALDWELL TO PORTLAND H,2012_05M-1205BRwd-Weekday-02,650008,6513576-2012_05M-1205BRwd-Weekday-02,6513576
a_2151011,4-121,4 DOWNTOWN VIA NORTH,2012_05M-1205BRsa-Saturday-02,40027,6515767-2012_05M-1205BRsa-Saturday-02,6515767
b_2152823,21-114,21 TIMBERLEA,2012_08A-1208BRsa-Saturday-01,210072,6527487-2012_08A-1208BRsa-Saturday-01,6527487
b_2153070,1-114,1 SPRING GARDEN TO MUMFOR,2012_08A-1208BRsu-Sunday-01,10031,6530568-2012_08A-1208BRsu-Sunday-01,6530568
b_2152834,65-114,65 CALDWELL TO ASTRAL,2012_08A-1208BRsa-Saturday-01,650012,6528367-2012_08A-1208BRsa-Saturday-01,6528367
a_2150518,16-121,16 LACEWOOD VIA PARKLAND,2012_05M-1205BRwd-Weekday-02,160037,6511976-2012_05M-1205BRwd-Weekday-02,6511976
b_2152532,54-114,54 ALDERNEY,2012_08A-1208BRwd-Weekday-01,540032,6522198-2012_08A-1208BRwd-Weekday-01,6522198
